Country name,Country code,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Maldives,MDV,Asia and the Pacific,South Asia,, ,,0,25.93,62,4.60,185,9.72,99,6.13,121,11.4,167
Mali,MLI,Sub-Saharan Africa,West Africa,,"Cisse Mariam Kaidama Sidibe (April 3, 2011 to March 22, 2012)",Cisse Mariam Kaidama Sidibe,1,25.00,64,27.89,64,30.35,43,25.25,73,30.1,67
Malta,MLT,Europe,Western Europe,,"Agatha Barbara (February 15, 1982 to February 15, 1987), Marie-Louise Coleiro Preca (April 4, 2014 to April 4, 2019)","Agatha Barbara, Marie-Louise Coleiro Preca",2,11.76,137,13.43,155,-1,-1,26.29,66,20.0,110
Marshall Islands,MHL,Asia and the Pacific,Australasia and Pacific,,"Hilda Heine (January 28, 2016 to January 14, 2020)",Hilda Heine,1,10,148,6.06,180,-1,-1,16,95,10.5,170
Mauritania,MRT,Sub-Saharan Africa,West Africa,, ,,0,20.00,92,20.26,106,-1,-1,31.37,41,24.0,91
Mauritius,MUS,Sub-Saharan Africa,East Africa,,"Ameenah Gurib (June 5, 2015 to March 23, 2018)",Ameenah Gurib,1,12.50,134,20.00,108,-1,-1,26.17,67,19.7,111
Mexico,MEX,Americas,North America,, ,,0,35.00,34,48.41,5,-1,-1,45.01,10,57.4,13
Micronesia,FSM,Asia and the Pacific,Australasia and Pacific,, ,,0,22.22,77,0,188,6.45,109,1.48,128,7.4,181
Moldova,MDA,Europe,Southeastern Europe,,"Zinaida Greceanii (March 31, 2008 to September 14, 2009), Maia Sandu (June 8, 2019 to November 14, 2019)","Zinaida Greceanii, Maia Sandu",2,11.11,139,24.75,81,34.80,27,35.60,26,31.3,63
Monaco,MCO,Europe,Western Europe,, ,,0,20,92,33.33,45,-1,-1,-1,-1,25,88
Mongolia,MNG,Asia and the Pacific,East Asia,, ,,0,6.67,166,17.33,129,24.92,56,26.69,63,19.5,112
Montenegro,MNE,Europe,Southeastern Europe,, ,,0,22.22,77,29.63,56,-1,-1,27.77,55,27.3,85
