Country name,Country code,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments with dates,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Bhutan,BTN,Asia and the Pacific,South Asia,, ,,0,10,148,15.28,143,7.44,108,10.62,111,9.8,172
Bolivia,BOL,Americas,South America,Jeanine Anez *, ,,0,25.00,64,51.81,1,-1,-1,50.47,1,58.3,12
Bosnia and Herzegovina,BIH,Europe,Southeastern Europe,, ,,0,22.22,77,21.05,99,-1,-1,18.59,84,19.5,112
Botswana,BWA,Sub-Saharan Africa,Southern Africa,, ,,0,21.05,89,10.77,165,5.71,112,12.67,106,11.9,160
Brazil,BRA,Americas,South America,,"Dilma Rousseff (January 1, 2011 to May 12, 2016)",Dilma Rousseff,1,9.09,154,14.48,146,31.63,37,13.51,102,19.3,115
Brunei,BRN,Asia and the Pacific,South Asia,, ,,0,0,182,9.09,172,-1,-1,-2,-2,3.3,189
Bulgaria,BGR,Europe,Southeastern Europe,, ,,0,36.84,32,26.67,71,25.84,54,27.15,57,33.4,61
Burkina Faso,BFA,Sub-Saharan Africa,West Africa,, ,,0,14.29,123,13.39,155,29.87,44,12.68,106,17.9,123
Burundi,BDI,Sub-Saharan Africa,East Africa,,"Sylvie Kinigi (July 10, 1993 to October 27, 1993)",Sylvie Kinigi,1,26.09,58,38.89,23,-1,-1,19.10,83,30.7,65
Cambodia,KHM,Asia and the Pacific,South Asia,, ,,0,9.38,153,18.72,123,-1,-1,16.93,92,13.4,150
Cameroon,CMR,Sub-Saharan Africa,Central Africa,, ,,0,14.89,121,31.07,50,-1,-1,25.33,72,24.1,90
Canada,CAN,Americas,North America,,"Kim Campbell (June 25, 1993 to November 4, 1993)",Kim Campbell,1,50,1,33.64,43,34.30,29,26.60,64,47.9,23
Cape Verde,CPV,Sub-Saharan Africa,West Africa,, ,,0,21.43,86,25.00,77,13.25,90,28.36,51,23.1,96
Central African Republic,CAF,Sub-Saharan Africa,Central Africa,, ,,0,20.00,92,8.57,174,-1,-1,-1,-1,11.5,166
Chad,TCD,Sub-Saharan Africa,West Africa,, ,,0,25.93,62,15.43,141,10.29,98,-1,-1,16.2,135
Chile,CHL,Americas,South America,,"Michelle Bachelet (March 11, 2006 to March 11, 2010), Michelle Bachelet (March 11, 2014 to March 11, 2018)",Michelle Bachelet,1,33.33,35,22.73,91,41.30,15,24.86,76,39.0,42
China,CHN,Asia and the Pacific,East Asia,, ,,0,6.45,168,24.94,79,-1,-1,-1,-1,13.4,150
Colombia,COL,Americas,South America,, ,,0,57.89,1,19.64,114,31.96,35,17.90,88,38.6,43
Comoros,COM,Sub-Saharan Africa,East Africa,, ,,0,8.33,156,16.67,135,-1,-1,28,53,17.0,130
Costa Rica,CRI,Americas,Central America,,"Laura Chinchilla (May 8, 2010 to May 8, 2014)",Laura Chinchilla,1,50.00,1,45.61,10,49.33,2,45.64,8,74.2,1
Croatia,HRV,Europe,Southeastern Europe,,"Jadranka Kosor (July 6, 2009 to December 23, 2011), Kolinda Grabar-Kitarovic (February 19, 2015 to February 18, 2020)","Jadranka Kosor, Kolinda Grabar-Kitarovic",2,20,92,29.80,55,41.96,12,26.39,65,37.4,51
Cuba,CUB,Americas,Caribbean,, ,,0,21.88,82,53.22,1,53.22,1,34.87,29,56.3,16
Cyprus,CYP,Europe,Southeastern Europe,, ,,0,15.38,116,19.64,114,21.91,65,-1,-1,17.7,125
Czech Republic,CZE,Europe,Eastern Europe,, ,,0,28.57,54,20.28,106,28.30,47,27.06,59,28.4,80
North Korea,PRK,Asia and the Pacific,East Asia,, ,,0,-1,-1,17.61,127,17.61,76,-1,-1,14.3,142
Democratic Republic of Congo,COD,Sub-Saharan Africa,Central Africa,, ,,0,17.39,104.0,14.29,148,-1,-1,-1,-1,12.6,155
Denmark,DNK,Europe,Northern Europe,Mette Frederiksen,"Helle Thorning-Schmidt (October 3, 2011 to June 28, 2015), Mette Frederiksen (June 27, 2019 to Incumbent)","Helle Thorning-Schmidt, Mette Frederiksen (current)",2,31.58,44,39.66,20,34.33,28,33.33,35,44.3,29
Djibouti,DJI,Sub-Saharan Africa,East Africa,, ,,0,13.04,130,26.15,74,25.00,55,28.87,49,24.9,89
Dominica,DMA,Americas,Caribbean,,"Dame Eugenia Charles (July 21, 1980 to June 14, 1995)",Dame Eugenia Charles,1,31.25,48,34.38,41,30.95,41,-1,-1,41.9,34
Dominican Republic,DOM,Americas,Caribbean,, ,,0,17.39,104,25.68,76,-1,-1,28.34,52,23.8,92
East Timor,TLS,Asia and the Pacific,South Asia,, ,,0,18.18,100,38.46,27,-1,-1,3.95,123,22.2,100
Ecuador,ECU,Americas,South America,, ,,0,37.93,31,39.42,21,-1,-1,27.17,57,40.9,37
Egypt,EGY,Middle East and North Africa,North Africa,, ,,0,24.24,69,15.10,144,5.68,113,-2,-2,14.0,145
El Salvador,SLV,Americas,Central America,, ,,0,47.06,17,33.33,45,20.36,68,32.44,36,42.5,33
Equatorial Guinea,GNQ,Sub-Saharan Africa,Central Africa,, ,,0,7.14,162,19.19,118,-1,-1,26.85,61,17.0,130
Eritrea,ERI,Sub-Saharan Africa,East Africa,, ,,0,17.65,101.0,-1,-2,-1,-1,-1,-1,10.7,169
Estonia,EST,Europe,Northern Europe,Kersti Kaljulaid,"Kersti Kaljulaid (October 10, 2016 to Incumbent)",Kersti Kaljulaid (current),1,14.29,123,28.71,62,32.12,32,28.63,50,30,69
Eswatini,SWZ,Sub-Saharan Africa,Southern Africa,, ,,0,31.58,44,18.45,125,15.18,84,14.21,101,20.7,108
Ethiopia,ETH,Sub-Saharan Africa,East Africa,Sahle-Work Zewde,"Sahle-Work Zewde (October 25, 2018 to Incumbent)",Sahle-Work Zewde (current),1,47.62,16,37.29,29,-1,-1,-1,-1,51.0,19
Fiji,FJI,Asia and the Pacific,Australasia and Pacific,, ,,0,23.08,74,19.61,114,23.83,58,-1,-1,21.4,104
Finland,FIN,Europe,Northern Europe,Sanna Marin,"Tarja Halonen (March 1, 2000 to March 1, 2012), Anneli Jaatteenmaki (April 17, 2003 to June 24, 2003), Mari Kiviniemi (June 22, 2010 to June 22, 2011), Sanna Marin (December 10, 2019 to Incumbent)","Tarja Halonen, Anneli Jaatteenmaki, Mari Kiviniemi, Sanna Marin (current)",4,61.11,1,46,9,41.98,12,39,21,68.4,4
France,FRA,Europe,Western Europe,,"Edith Cresson (May 15, 1991 to April 2, 1992)",Edith Cresson,1,52.94,1,37.19,30,42.43,9,40.40,18,60.4,10
Gabon,GAB,Sub-Saharan Africa,Central Africa,Rose Christiane Raponda,"Rose Christiane Raponda (July 16, 2020 to Incumbent)",Rose Christiane Raponda (current),1,26.09,58,16.12,137,-1,-1,-1,-1,18.2,119
Gambia,GMB,Sub-Saharan Africa,West Africa,, ,,0,22.22,77,8.62,174,8.79,102,-1,-1,11.9,160
Georgia,GEO,Europe,Caucasus,Salome Zurabishvili,"Salome Zurabishvili (December 16, 2018 to Incumbent)",Salome Zurabishvili (current),1,45.45,18,14.09,149,17.52,77,13.46,102,27.8,81
Germany,DEU,Europe,Western Europe,Angela Merkel,"Angela Merkel (November 22, 2005 to Incumbent)",Angela Merkel (current),1,40,26,31.62,48,29.00,45,28,56,43.3,30
Ghana,GHA,Sub-Saharan Africa,West Africa,, ,,0,25,64,13.09,157,11.83,94,3.80,125,13.2,152
Greece,GRC,Europe,Southeastern Europe,Katerina Sakellaropoulou,"Katerina Sakellaropoulou (March 13, 2020 to Incumbent)",Katerina Sakellaropoulou (current),1,11.11,139,21.67,97,-1,-1,-1,-1,13.6,147
Grenada,GRD,Americas,Caribbean,, ,,0,41.67,25,39.29,22,31.11,40,-2,-2,45.3,27
Guatemala,GTM,Americas,Central America,, ,,0,13.33,128,19.38,117,-1,-1,10.59,112,12.8,153
Guinea,GIN,Sub-Saharan Africa,West Africa,, ,,0,10.81,145,16.67,135,-1,-1,15.43,97,12.6,155
