Country,Date,Gap Between Actual and Potential Growth,Actual Growth,Potential Growth
Argentina,12/1/11,#N/A,5.2,#N/A
Argentina,3/1/12,#N/A,1.6,#N/A
Argentina,6/1/12,#N/A,-4.6,#N/A
Argentina,9/1/12,#N/A,-1.1,#N/A
Argentina,12/1/12,#N/A,0.6,#N/A
Argentina,3/1/13,#N/A,0.7,#N/A
Argentina,6/1/13,#N/A,6.3,#N/A
Argentina,9/1/13,#N/A,2.6,#N/A
Argentina,12/1/13,#N/A,-0.1,#N/A
Argentina,3/1/14,#N/A,-0.9,#N/A
Argentina,6/1/14,#N/A,-2.1,#N/A
Argentina,9/1/14,#N/A,-4.2,#N/A
Argentina,12/1/14,#N/A,-2.8,#N/A
Argentina,3/1/15,#N/A,0.3,#N/A
Argentina,6/1/15,#N/A,4,#N/A
Argentina,9/1/15,#N/A,4,#N/A
Argentina,12/1/15,#N/A,2.5,#N/A
Argentina,3/1/16,#N/A,0.7,#N/A
Argentina,6/1/16,#N/A,-3.9,#N/A
Argentina,9/1/16,#N/A,-3.3,#N/A
Argentina,12/1/16,#N/A,-1.5,#N/A
Argentina,3/1/17,#N/A,0.3,#N/A
Argentina,6/1/17,#N/A,2.1,#N/A
Argentina,9/1/17,#N/A,3.8,#N/A
Argentina,12/1/17,#N/A,4.5,#N/A
Argentina,3/1/18,#N/A,4.1,#N/A
Argentina,6/1/18,#N/A,-3.8,#N/A
Argentina,9/1/18,#N/A,-3.7,#N/A
Argentina,12/1/18,#N/A,-6.1,#N/A
Argentina,3/1/19,#N/A,-5.8,#N/A
Argentina,6/1/19,#N/A,0,#N/A
Argentina,9/1/19,#N/A,-1.8,#N/A
Argentina,12/1/19,#N/A,-1.1,#N/A
Argentina,3/1/20,#N/A,#N/A,#N/A
Armenia,3/1/00,#N/A,#N/A,#N/A
Armenia,6/1/00,#N/A,#N/A,#N/A
Armenia,9/1/00,#N/A,#N/A,#N/A
Armenia,12/1/00,#N/A,#N/A,#N/A
Armenia,3/1/01,#N/A,12.2,#N/A
Armenia,6/1/01,#N/A,-15.7,#N/A
Armenia,9/1/01,#N/A,-20.4,#N/A
Armenia,12/1/01,#N/A,-22.3,#N/A
Armenia,3/1/02,#N/A,12.4,#N/A
Armenia,6/1/02,#N/A,14.7,#N/A
Armenia,9/1/02,#N/A,18.7,#N/A
Armenia,12/1/02,#N/A,28.1,#N/A
Armenia,3/1/03,#N/A,9.6,#N/A
Armenia,6/1/03,#N/A,8.8,#N/A
Armenia,9/1/03,#N/A,21.7,#N/A
Armenia,12/1/03,#N/A,14.8,#N/A
Armenia,3/1/04,#N/A,11.8,#N/A
Armenia,6/1/04,#N/A,18.4,#N/A
Armenia,9/1/04,#N/A,16.2,#N/A
Armenia,12/1/04,#N/A,14.8,#N/A
Armenia,3/1/05,#N/A,15,#N/A
Armenia,6/1/05,#N/A,24.2,#N/A
Armenia,9/1/05,#N/A,21.1,#N/A
Armenia,12/1/05,#N/A,21.8,#N/A
Armenia,3/1/06,#N/A,21.2,#N/A
Armenia,6/1/06,#N/A,27.3,#N/A
Armenia,9/1/06,#N/A,13.1,#N/A
Armenia,12/1/06,#N/A,12.3,#N/A
Armenia,3/1/07,#N/A,10.9,#N/A
Armenia,6/1/07,#N/A,14.2,#N/A
Armenia,9/1/07,#N/A,25.6,#N/A
Armenia,12/1/07,#N/A,19.6,#N/A
Armenia,3/1/08,#N/A,19.2,#N/A
Armenia,6/1/08,#N/A,15.1,#N/A
Armenia,9/1/08,#N/A,19.4,#N/A
Armenia,12/1/08,#N/A,-2.2,#N/A
Armenia,3/1/09,#N/A,1.1,#N/A
Armenia,6/1/09,#N/A,-15.7,#N/A
Armenia,9/1/09,#N/A,-16,#N/A
Armenia,12/1/09,#N/A,-0.2,#N/A
Armenia,3/1/10,#N/A,10,#N/A
Armenia,6/1/10,#N/A,12.1,#N/A
Armenia,9/1/10,#N/A,-3.2,#N/A
Armenia,12/1/10,#N/A,5.8,#N/A
Armenia,3/1/11,#N/A,9.8,#N/A
Armenia,6/1/11,#N/A,11.1,#N/A
Armenia,9/1/11,#N/A,15,#N/A
Armenia,12/1/11,#N/A,13.4,#N/A
Armenia,3/1/12,#N/A,9.7,#N/A
Armenia,6/1/12,#N/A,11.8,#N/A
Armenia,9/1/12,#N/A,13.8,#N/A
Armenia,12/1/12,#N/A,10.9,#N/A
Armenia,3/1/13,#N/A,16.2,#N/A
Armenia,6/1/13,#N/A,7.7,#N/A
Armenia,9/1/13,#N/A,5.6,#N/A
Armenia,12/1/13,#N/A,9,#N/A
Armenia,3/1/14,#N/A,6.5,#N/A
Armenia,6/1/14,#N/A,5.6,#N/A
Armenia,9/1/14,#N/A,9,#N/A
Armenia,12/1/14,#N/A,6.9,#N/A
Armenia,3/1/15,#N/A,5.7,#N/A
Armenia,6/1/15,#N/A,6.9,#N/A
Armenia,9/1/15,#N/A,6.6,#N/A
Armenia,12/1/15,#N/A,3.6,#N/A
Armenia,3/1/16,#N/A,5.9,#N/A
Armenia,6/1/16,#N/A,3.8,#N/A
Armenia,9/1/16,#N/A,-1.5,#N/A
Armenia,12/1/16,#N/A,0.1,#N/A
Armenia,3/1/17,#N/A,7.1,#N/A
Armenia,6/1/17,#N/A,6.1,#N/A
Armenia,9/1/17,#N/A,4.4,#N/A
Armenia,12/1/17,#N/A,11.4,#N/A
Armenia,3/1/18,#N/A,10.2,#N/A
Armenia,6/1/18,#N/A,7.5,#N/A
Armenia,9/1/18,#N/A,2.8,#N/A
Armenia,12/1/18,#N/A,3.1,#N/A
Armenia,3/1/19,#N/A,7.5,#N/A
Armenia,6/1/19,#N/A,6.9,#N/A
Armenia,9/1/19,#N/A,8.2,#N/A
Armenia,12/1/19,#N/A,7.6,#N/A
Armenia,3/1/20,#N/A,#N/A,#N/A
Australia,3/1/00,#N/A,4.4,#N/A
Australia,6/1/00,#N/A,4.5,#N/A
Australia,9/1/00,#N/A,3.2,#N/A
Australia,12/1/00,#N/A,1.4,#N/A
Australia,3/1/01,-1.5,1.8,3.3
Australia,6/1/01,-1.9,1.4,3.3
Australia,9/1/01,-0.7,2.6,3.3
Australia,12/1/01,1.6,4.9,3.3
Australia,3/1/02,0.1,3.4,3.3
Australia,6/1/02,1.7,5.1,3.4
Australia,9/1/02,0.8,4.2,3.4
Australia,12/1/02,-0.1,3.3,3.4
Australia,3/1/03,-1.2,2.4,3.6
Australia,6/1/03,-1.8,2,3.8
Australia,9/1/03,-1.4,2.6,4
Australia,12/1/03,0.3,4.5,4.2
