Country name,Country code,Region,Subregion,Current female head of state,Names of elected and appointed female heads of state or governments since 1946,Number of elected and appointed female heads of state or governments since 1946,Percentage of ministerial positions held by women,Rank of ministerial positions held by women,Percentage of seats held by women in the national legislature,Rank of seats held by women in the national legislature,Percentage of female candidates in the most recent elections to the national legislature,Rank of female candidates in the most recent elections to the national legislature,Percentage of elected seats held by women in local government bodies,Rank of elected seats held by women in local government bodies,Political parity score,Political parity score rank
Afghanistan,AFG,Asia and the Pacific,South Asia,,,0,16.13,116,27.24,61,16.26,75,-1,-1,19,115
Albania,ALB,Europe,Southeastern Europe,,,0,53.33,1,29.51,53,40.25,14,36.90,20,53.6,15
Algeria,DZA,Middle East and North Africa,North Africa,,,0,13.33,130,21.55,92,32.13,32,-1,-1,22.6,92
Andorra,AND,Europe,Western Europe,,,0,36.36,25,50,1,46.21,3,35.80,21,59.8,10
Angola,AGO,Sub-Saharan Africa,Southern Africa,,,0,34.38,31,30,49,-1,-1,-1,-1,31.8,60
Antigua and Barbuda,ATG,Americas,Caribbean,,,0,15.38,119,31.43,46,-1,-1,66.70,1,41,30
Argentina,ARG,Americas,South America,,"Isabel Martínez de Perón, Cristina Fernández de Kirchner",2,25,64,39.88,17,-1,-1,-1,-1,38.2,40
Armenia,ARM,Europe,Caucasus,,,0,7.14,157,23.48,78,32.13,32,9,104,19.1,114
Australia,AUS,Asia and the Pacific,Australasia and Pacific,,Julia Gillard,1,21.43,90,36.56,33,34.28,27,33.90,25,38.5,36
Austria,AUT,Europe,Western Europe,,Brigitte Bierlein,1,38.46,22,38.52,25,-1,-1,-1,-1,42,27
Azerbaijan,AZE,Europe,Caucasus,,,0,0,178,16.81,129,-1,-1,35,23,18.5,118
Bahamas,BHS,Americas,Caribbean,,,0,5.56,168,21.82,91,-1,-1,-1,-1,11.3,162
Bahrain,BHR,Middle East and North Africa,Middle East,,,0,4.35,172,18.75,118,13.70,83,13.30,92,11.8,158
Bangladesh,BGD,Asia and the Pacific,South Asia,Sheikh Hasina,"Khaleda Zia, Sheikh Hasina (current) ",2,8,153,20.63,101,-1,-1,25.20,66,30.6,65
Barbados,BRB,Americas,Caribbean,Mia Mottley,Mia Mottley (current),1,23.81,74,29.41,54,27.41,49,-2,-2,28.3,74
Belarus,BLR,Europe,Eastern Europe,,,0,3.45,176,33.13,42,-1,-1,48.20,4,36.6,45
Belgium,BEL,Europe,Western Europe,Sophie Wilmès,Sophie Wilmès (current),1,25,64,43.33,12,-1,-1,39,17,43.5,24
Belize,BLZ,Americas,Central America,,,0,0,178,11.11,165,11.11,92,-1,-1,6.3,181
Benin,BEN,Sub-Saharan Africa,West Africa,,,0,18.18,106,7.23,177,8.43,102,4.60,108,8.8,172
Bhutan,BTN,Asia and the Pacific,South Asia,,,0,10,143,15.28,138,7.44,105,10.60,98,9.8,166
Bolivia,BOL,Americas,South America,Jeanine Áñez *,,0,14.29,123,51.81,1,-1,-1,50.50,1,54.2,14
Bosnia and Herzegovina,BIH,Europe,Southeastern Europe,,,0,22.22,83,21.05,96,-1,-1,18.60,76,19.6,108
Botswana,BWA,Sub-Saharan Africa,Southern Africa,,,0,15.79,118,10.77,166,-1,-1,12.70,94,11.4,161
Brazil,BRA,Americas,South America,,Dilma Rousseff,1,9.09,149,14.98,139,31.63,37,13.50,90,19.4,110
Brunei,BRN,Asia and the Pacific,South Asia,,,0,0,178,9.09,173,-1,-1,-2,-2,3.3,190
Bulgaria,BGR,Europe,Southeastern Europe,,,0,31.58,38,25.83,65,25.84,53,26,60,30.2,67
Burkina Faso,BFA,Sub-Saharan Africa,West Africa,,,0,14.29,123,13.39,151,29.87,42,12.70,94,17.9,121
Burundi,BDI,Sub-Saharan Africa,East Africa,,Sylvie Kinigi,1,26.09,62,38.75,22,-1,-1,19.10,75,30.7,64
Cambodia,KHM,Asia and the Pacific,South Asia,,,0,9.38,148,19.25,114,-1,-1,16.10,85,13.3,147
Cameroon,CMR,Sub-Saharan Africa,Central Africa,,,0,18.60,103,29.29,55,-1,-1,25.30,64,24.6,83
Canada,CAN,Americas,North America,,Kim Campbell,1,50,1,33.18,41,34.30,27,26.60,55,47.7,20
Cape Verde,CPV,Sub-Saharan Africa,West Africa,,,0,21.43,90,23.61,77,13.25,87,28.40,45,22.6,92
Central African Republic,CAF,Sub-Saharan Africa,Central Africa,,,0,18.18,106,8.57,175,-1,-1,-1,-1,10.5,165
Chad,TCD,Sub-Saharan Africa,West Africa,,,0,25.93,63,14.88,141,10.29,95,-1,-1,16,130
Chile,CHL,Americas,South America,,Michelle Bachelet,1,34.78,30,22.73,85,41.30,11,24.90,68,39.6,32
China,CHN,Asia and the Pacific,East Asia,,,0,6.45,164,24.94,72,-1,-1,-1,-1,13.4,146
Colombia,COL,Americas,South America,,,0,52.94,1,19.57,111,31.96,35,17.60,80,38.5,36
Comoros,COM,Sub-Saharan Africa,East Africa,,,0,8.33,151,6.06,180,-1,-1,28,47,13.6,145
Costa Rica,CRI,Americas,Central America,,Laura Chinchilla,1,51.85,1,45.61,8,49.33,2,45.60,8,74.1,1
Croatia,HRV,Europe,Southeastern Europe,Kolinda Grabar-Kitarović,"Jadranka Kosor, Kolinda Grabar-Kitarović (current)",2,25,64,20.53,103,39.74,16,26.40,56,34.4,53
Cuba,CUB,Americas,Caribbean,,,0,25,64,53.22,1,53.22,1,-1,-1,58.3,11
