Quarter,Country,Current Account Balance,Bilateral Balance,Reserves,Forwards,FX Intervention
6/1/05,Hong Kong,0.1437,-7.3626,-0.0482,0.0000,-0.0482,
9/1/05,Hong Kong,0.1299,-7.6303,-0.0156,0.0000,-0.0156,
12/1/05,Hong Kong,0.1188,-7.4594,-0.0319,0.0000,-0.0319,
3/1/06,Hong Kong,0.1186,-7.5088,-0.0008,0.0000,-0.0008,
6/1/06,Hong Kong,0.1063,-7.7439,0.0206,0.0000,0.0206,
9/1/06,Hong Kong,0.1220,-8.4818,0.0159,0.0000,0.0159,
12/1/06,Hong Kong,0.1269,-9.7957,0.0228,0.0000,0.0228,
3/1/07,Hong Kong,0.1393,-10.7682,0.0159,0.0000,0.0159,
6/1/07,Hong Kong,0.1411,-11.2340,0.0036,0.0000,0.0036,
9/1/07,Hong Kong,0.1382,-12.1992,-0.0073,0.0000,-0.0073,
12/1/07,Hong Kong,0.1302,-12.8756,0.0089,0.0000,0.0089,
3/1/08,Hong Kong,0.1176,-13.2720,0.0500,0.0000,0.0500,
6/1/08,Hong Kong,0.1170,-14.8005,0.0643,0.0000,0.0643,
9/1/08,Hong Kong,0.1258,-15.3316,0.0967,0.0000,0.0967,
12/1/08,Hong Kong,0.1499,-15.0151,0.1056,0.0103,0.1158,
3/1/09,Hong Kong,0.1556,-15.2906,0.1154,0.0000,0.1154,
6/1/09,Hong Kong,0.1684,-14.9928,0.1866,0.0056,0.1922,
9/1/09,Hong Kong,0.1331,-15.5927,0.2367,0.0108,0.2475,
12/1/09,Hong Kong,0.0988,-17.4795,0.3480,-0.0105,0.3375,
3/1/10,Hong Kong,0.0797,-18.8321,0.2937,0.0000,0.2937,
6/1/10,Hong Kong,0.0511,-19.8547,0.2019,-0.0054,0.1964,
9/1/10,Hong Kong,0.0713,-21.3491,0.1436,-0.0102,0.1333,
12/1/10,Hong Kong,0.0700,-22.2739,0.0118,0.0008,0.0126,
3/1/11,Hong Kong,0.0781,-24.6200,0.0106,0.0000,0.0106,
6/1/11,Hong Kong,0.0804,-26.3322,0.0270,0.0000,0.0270,
9/1/11,Hong Kong,0.0638,-29.2430,0.0159,0.0000,0.0159,
12/1/11,Hong Kong,0.0556,-31.9892,0.0243,-0.0007,0.0236,
3/1/12,Hong Kong,0.0328,-32.7848,0.0476,0.0000,0.0476,
6/1/12,Hong Kong,0.0239,-34.4605,0.0306,0.0000,0.0306,
9/1/12,Hong Kong,0.0209,-31.7643,0.0449,0.0000,0.0449,
12/1/12,Hong Kong,0.0158,-32.0163,0.0754,0.0000,0.0754,
3/1/13,Hong Kong,0.0110,-32.8854,0.0519,0.0000,0.0519,
6/1/13,Hong Kong,0.0046,-32.8073,0.0675,0.0000,0.0675,
9/1/13,Hong Kong,0.0081,-36.3876,0.0358,0.0000,0.0358,
12/1/13,Hong Kong,0.0152,-36.6781,0.0125,0.0000,0.0125,
3/1/14,Hong Kong,0.0181,-36.9376,0.0200,0.0000,0.0200,
6/1/14,Hong Kong,0.0140,-36.5510,0.0140,0.0000,0.0140,
9/1/14,Hong Kong,0.0159,-34.9743,0.0575,0.0000,0.0575,
12/1/14,Hong Kong,0.0139,-35.0159,0.0491,0.0000,0.0491,
3/1/15,Hong Kong,0.0144,-33.5482,0.0503,0.0000,0.0503,
6/1/15,Hong Kong,0.0268,-32.3449,0.0771,0.0000,0.0771,
9/1/15,Hong Kong,0.0323,-31.8132,0.0774,0.0051,0.0825,
12/1/15,Hong Kong,0.0332,-30.3811,0.1058,0.0003,0.1061,
3/1/16,Hong Kong,0.0429,-29.5677,0.0919,0.0000,0.0919,
6/1/16,Hong Kong,0.0471,-28.5469,0.0528,0.0000,0.0528,
9/1/16,Hong Kong,0.0417,-27.7151,0.0219,-0.0049,0.0170,
12/1/16,Hong Kong,0.0395,-27.4886,-0.0095,-0.0257,-0.0352,
3/1/17,Hong Kong,0.0370,-29.9672,0.0058,-0.0265,-0.0207,
6/1/17,Hong Kong,0.0406,-31.1291,0.0407,-0.0252,0.0155,
9/1/17,Hong Kong,0.0474,-32.0592,0.0612,-0.0248,0.0363,
12/1/17,Hong Kong,0.0458,-32.4828,0.0786,-0.0013,0.0774,
3/1/18,Hong Kong,0.0415,-32.0910,0.0866,0.0031,0.0898,
6/1/18,Hong Kong,0.0371,-31.9428,0.0393,0.0022,0.0415,
9/1/18,Hong Kong,0.0324,-31.4084,0.0035,0.0021,0.0056,
12/1/18,Hong Kong,0.0374,-31.0372,-0.0143,0.0038,-0.0105,
3/1/19,Hong Kong,0.0432,-29.0642,-0.0287,-0.0026,-0.0313,
6/1/19,Hong Kong,0.0503,-28.5274,-0.0017,0.0010,-0.0007,
9/1/19,Hong Kong,0.0594,-27.9144,-0.0079,0.0011,-0.0068,
12/1/19,Hong Kong,0.0614,-26.0483,-0.0194,0.0197,0.0002,
3/1/20,Hong Kong,0.0488,-24.3211,-0.0178,0.0236,0.0058,
12/1/00,India,-0.0106,7.0193,0.0086,0.0000,0.0086,
3/1/01,India,-0.0064,6.8796,0.0080,0.0000,0.0080,
6/1/01,India,0.0016,6.2697,0.0132,0.0000,0.0132,
9/1/01,India,0.0029,6.0327,0.0150,0.0000,0.0150,
12/1/01,India,0.0023,5.9803,0.0137,-0.0008,0.0128,
3/1/02,India,0.0062,6.2107,0.0199,-0.0008,0.0191,
6/1/02,India,0.0062,6.7849,0.0200,-0.0008,0.0192,
9/1/02,India,0.0118,7.2606,0.0286,0.0010,0.0295,
12/1/02,India,0.0132,7.7174,0.0331,0.0054,0.0384,
3/1/03,India,0.0116,8.0088,0.0286,0.0056,0.0342,
6/1/03,India,0.0083,8.1662,0.0350,0.0081,0.0431,
9/1/03,India,0.0104,8.1635,0.0403,0.0017,0.0421,
12/1/03,India,0.0144,8.0756,0.0402,-0.0027,0.0376,
3/1/04,India,0.0225,8.5853,0.0477,-0.0017,0.0459,
6/1/04,India,0.0282,8.7572,0.0488,-0.0060,0.0428,
9/1/04,India,0.0154,8.9047,0.0325,-0.0022,0.0303,
12/1/04,India,0.0007,9.4628,0.0300,-0.0011,0.0289,
3/1/05,India,-0.0039,9.4256,0.0319,-0.0020,0.0299,
6/1/05,India,-0.0153,9.6748,0.0216,-0.0002,0.0215,
9/1/05,India,-0.0149,10.0830,0.0283,0.0000,0.0283,
12/1/05,India,-0.0134,10.8856,0.0128,0.0000,0.0128,
3/1/06,India,-0.0125,11.5111,0.0126,0.0000,0.0126,
6/1/06,India,-0.0117,11.7131,0.0179,0.0000,0.0179,
9/1/06,India,-0.0127,12.2137,0.0132,0.0000,0.0132,
12/1/06,India,-0.0109,12.1574,0.0255,0.0000,0.0255,
3/1/07,India,-0.0106,12.1585,0.0313,0.0000,0.0313,
6/1/07,India,-0.0100,12.3550,0.0331,0.0000,0.0331,
9/1/07,India,-0.0080,10.1387,0.0555,0.0000,0.0555,
12/1/07,India,-0.0073,9.1045,0.0678,0.0073,0.0751,
3/1/08,India,-0.0132,8.8489,0.0668,0.0127,0.0795,
6/1/08,India,-0.0119,7.8142,0.0572,0.0109,0.0681,
9/1/08,India,-0.0178,7.6978,0.0302,0.0018,0.0320,
12/1/08,India,-0.0251,8.0224,-0.0035,-0.0080,-0.0115,
3/1/09,India,-0.0236,6.9863,-0.0229,-0.0146,-0.0375,
6/1/09,India,-0.0247,5.9449,-0.0241,-0.0111,-0.0352,
9/1/09,India,-0.0222,5.5413,-0.0114,-0.0015,-0.0129,
12/1/09,India,-0.0214,4.7248,0.0054,0.0019,0.0073,
3/1/10,India,-0.0289,5.3791,0.0065,0.0018,0.0083,
6/1/10,India,-0.0337,7.2568,0.0087,-0.0003,0.0084,
9/1/10,India,-0.0374,9.4805,0.0041,-0.0004,0.0038,
12/1/10,India,-0.0346,10.2842,0.0053,-0.0003,0.0049,
3/1/11,India,-0.0289,11.1431,0.0048,-0.0002,0.0046,
6/1/11,India,-0.0299,12.5263,0.0055,-0.0001,0.0053,
9/1/11,India,-0.0297,13.9418,0.0037,0.0000,0.0037,
12/1/11,India,-0.0344,14.6120,-0.0055,-0.0008,-0.0062,
3/1/12,India,-0.0428,16.1283,-0.0095,-0.0018,-0.0113,
6/1/12,India,-0.0433,17.1260,-0.0122,-0.0078,-0.0201,
9/1/12,India,-0.0448,18.2215,-0.0125,-0.0079,-0.0204,
12/1/12,India,-0.0506,18.4069,-0.0047,-0.0067,-0.0114,
3/1/13,India,-0.0480,18.0345,0.0000,-0.0042,-0.0042,
6/1/13,India,-0.0498,18.7390,-0.0003,0.0049,0.0046,
9/1/13,India,-0.0412,18.7678,-0.0057,0.0034,-0.0023,
12/1/13,India,-0.0264,19.9996,0.0041,0.0037,0.0078,
3/1/14,India,-0.0174,21.4400,0.0065,0.0032,0.0097,
6/1/14,India,-0.0096,22.5002,0.0125,0.0163,0.0288,
9/1/14,India,-0.0122,23.3107,0.0209,0.0215,0.0424,
12/1/14,India,-0.0136,23.8588,0.0175,0.0197,0.0372,
3/1/15,India,-0.0131,23.9962,0.0285,0.0193,0.0478,
6/1/15,India,-0.0123,23.1021,0.0283,0.0013,0.0296,
9/1/15,India,-0.0111,23.0759,0.0243,-0.0062,0.0182,
12/1/15,India,-0.0107,23.3300,0.0198,-0.0137,0.0061,
3/1/16,India,-0.0105,23.7225,0.0068,-0.0175,-0.0106,
6/1/16,India,-0.0077,24.0609,0.0046,-0.0158,-0.0112,
9/1/16,India,-0.0052,24.3459,0.0087,-0.0067,0.0021,
12/1/16,India,-0.0054,24.3770,0.0061,-0.0007,0.0054,
3/1/17,India,-0.0066,23.5670,0.0076,0.0067,0.0143,
6/1/17,India,-0.0126,23.2101,0.0092,0.0103,0.0195,
9/1/17,India,-0.0135,22.6049,0.0091,0.0102,0.0193,
12/1/17,India,-0.0153,22.9018,0.0128,0.0100,0.0228,
3/1/18,India,-0.0183,22.4219,0.0145,0.0029,0.0174,
6/1/18,India,-0.0183,22.2658,0.0057,-0.0031,0.0026,
9/1/18,India,-0.0226,22.0583,0.0015,-0.0123,-0.0108,
12/1/18,India,-0.0241,21.0910,-0.0036,-0.0113,-0.0149,
3/1/19,India,-0.0211,21.7767,-0.0033,-0.0105,-0.0138,
6/1/19,India,-0.0206,21.3199,0.0060,-0.0051,0.0009,
9/1/19,India,-0.0162,22.5304,0.0083,0.0013,0.0096,
12/1/19,India,-0.0105,23.4061,0.0173,0.0037,0.0210,
3/1/20,India,-0.0086,22.7242,0.0192,0.0045,0.0237,
12/1/00,Indonesia,0.0442,7.9652,0.0190,0.0000,0.0190,
3/1/01,Indonesia,0.0471,8.2284,-0.0007,0.0000,-0.0007,
6/1/01,Indonesia,0.0476,8.1196,-0.0029,0.0000,-0.0029,
9/1/01,Indonesia,0.0470,7.9969,-0.0036,0.0000,-0.0036,
12/1/01,Indonesia,0.0392,7.5830,-0.0157,0.0000,-0.0157,
3/1/02,Indonesia,0.0369,7.2495,-0.0110,0.0000,-0.0110,
6/1/02,Indonesia,0.0364,7.2544,-0.0031,0.0000,-0.0031,
9/1/02,Indonesia,0.0352,7.2680,-0.0006,0.0000,-0.0006,
12/1/02,Indonesia,0.0367,7.0876,0.0133,0.0000,0.0133,
3/1/03,Indonesia,0.0337,7.0147,0.0152,0.0000,0.0152,
6/1/03,Indonesia,0.0327,7.0109,0.0157,0.0000,0.0157,
9/1/03,Indonesia,0.0307,6.8296,0.0123,0.0000,0.0123,
12/1/03,Indonesia,0.0319,6.9988,0.0129,0.0000,0.0129,
3/1/04,Indonesia,0.0175,7.2238,0.0146,0.0000,0.0146,
6/1/04,Indonesia,0.0128,7.4828,0.0010,0.0000,0.0010,
9/1/04,Indonesia,0.0129,7.9623,-0.0001,0.0000,-0.0001,
12/1/04,Indonesia,0.0059,8.1391,-0.0059,0.0000,-0.0059,
3/1/05,Indonesia,0.0128,8.3132,-0.0096,0.0000,-0.0096,
6/1/05,Indonesia,0.0109,8.2987,-0.0079,0.0000,-0.0079,
9/1/05,Indonesia,0.0004,8.4752,-0.0185,0.0000,-0.0185,
12/1/05,Indonesia,0.0012,8.9603,-0.0056,0.0000,-0.0056,
3/1/06,Indonesia,0.0087,9.4519,0.0106,0.0000,0.0106,
6/1/06,Indonesia,0.0128,9.7792,0.0134,0.0000,0.0134,
9/1/06,Indonesia,0.0257,10.1373,0.0272,0.0000,0.0272,
12/1/06,Indonesia,0.0276,10.3463,0.0132,0.0000,0.0132,
3/1/07,Indonesia,0.0250,10.5278,0.0098,0.0000,0.0098,
6/1/07,Indonesia,0.0249,10.5340,0.0182,0.0000,0.0182,
9/1/07,Indonesia,0.0205,10.4854,0.0149,0.0000,0.0149,
12/1/07,Indonesia,0.0225,10.3317,0.0222,0.0000,0.0222,
3/1/08,Indonesia,0.0213,10.0174,0.0144,0.0000,0.0144,
6/1/08,Indonesia,0.0141,9.9782,0.0093,0.0000,0.0093,
9/1/08,Indonesia,0.0077,9.8247,0.0068,0.0000,0.0068,
12/1/08,Indonesia,0.0003,10.1546,-0.0066,0.0000,-0.0066,
3/1/09,Indonesia,-0.0001,10.1028,-0.0009,-0.0012,-0.0021,
6/1/09,Indonesia,0.0065,9.4593,-0.0010,-0.0017,-0.0027,
9/1/09,Indonesia,0.0113,8.8441,0.0058,-0.0012,0.0047,
12/1/09,Indonesia,0.0183,7.8317,0.0195,-0.0008,0.0187,
3/1/10,Indonesia,0.0152,7.6327,0.0220,0.0009,0.0228,
6/1/10,Indonesia,0.0130,8.4597,0.0268,0.0014,0.0281,
9/1/10,Indonesia,0.0112,8.8078,0.0298,0.0009,0.0306,
12/1/10,Indonesia,0.0068,9.5305,0.0381,0.0009,0.0389,
3/1/11,Indonesia,0.0077,10.3844,0.0375,-0.0002,0.0374,
6/1/11,Indonesia,0.0064,10.7455,0.0434,0.0013,0.0447,
9/1/11,Indonesia,0.0056,11.3873,0.0288,-0.0003,0.0284,
12/1/11,Indonesia,0.0019,11.6894,0.0111,-0.0022,0.0090,
3/1/12,Indonesia,-0.0050,11.3863,0.0015,-0.0008,0.0007,
6/1/12,Indonesia,-0.0139,10.7404,-0.0143,-0.0016,-0.0159,
9/1/12,Indonesia,-0.0206,10.2741,-0.0091,0.0001,-0.0090,
12/1/12,Indonesia,-0.0267,10.0042,-0.0014,0.0006,-0.0008,
3/1/13,Indonesia,-0.0296,10.1309,-0.0074,0.0009,-0.0065,
6/1/13,Indonesia,-0.0314,10.1003,-0.0069,-0.0046,-0.0115,
9/1/13,Indonesia,-0.0350,9.9082,-0.0105,-0.0051,-0.0156,
12/1/13,Indonesia,-0.0319,9.7651,-0.0093,-0.0093,-0.0187,
3/1/14,Indonesia,-0.0312,9.8726,0.0002,-0.0090,-0.0088,
6/1/14,Indonesia,-0.0312,10.0274,0.0079,-0.0037,0.0042,
9/1/14,Indonesia,-0.0293,10.4986,0.0182,-0.0029,0.0153,
12/1/14,Indonesia,-0.0309,11.1088,0.0158,0.0016,0.0174,
3/1/15,Indonesia,-0.0300,11.0492,0.0150,0.0010,0.0159,
6/1/15,Indonesia,-0.0245,12.1549,0.0070,0.0011,0.0081,
9/1/15,Indonesia,-0.0217,12.5060,-0.0056,0.0031,-0.0024,
12/1/15,Indonesia,-0.0204,12.4871,-0.0025,0.0013,-0.0012,
3/1/16,Indonesia,-0.0205,12.7456,-0.0043,0.0040,-0.0003,
6/1/16,Indonesia,-0.0219,12.6113,0.0015,0.0024,0.0038,
9/1/16,Indonesia,-0.0220,12.7972,0.0127,0.0036,0.0163,
12/1/16,Indonesia,-0.0181,13.1596,0.0116,0.0012,0.0128,
3/1/17,Indonesia,-0.0148,13.5064,0.0163,0.0010,0.0173,
6/1/17,Indonesia,-0.0135,13.6596,0.0144,0.0030,0.0173,
9/1/17,Indonesia,-0.0125,13.3821,0.0137,0.0003,0.0139,
12/1/17,Indonesia,-0.0159,13.3415,0.0099,0.0060,0.0158,
3/1/18,Indonesia,-0.0184,13.3549,0.0016,0.0028,0.0043,
6/1/18,Indonesia,-0.0216,13.1297,-0.0033,-0.0010,-0.0043,
9/1/18,Indonesia,-0.0256,12.8257,-0.0127,-0.0038,-0.0165,
12/1/18,Indonesia,-0.0293,12.6576,-0.0084,-0.0068,-0.0153,
3/1/19,Indonesia,-0.0307,12.3117,-0.0024,-0.0052,-0.0076,
6/1/19,Indonesia,-0.0307,11.8005,-0.0002,-0.0014,-0.0016,
9/1/19,Indonesia,-0.0292,12.1539,0.0038,0.0012,0.0050,
12/1/19,Indonesia,-0.0271,12.4143,0.0027,0.0024,0.0051,
3/1/20,Indonesia,-0.0246,12.7015,-0.0067,0.0040,-0.0026,
12/1/00,Italy,-0.0027,13.9824,0.0017,0.0005,0.0017,
3/1/01,Italy,-0.0030,14.0856,-0.0004,0.0015,-0.0004,
6/1/01,Italy,-0.0024,14.0703,0.0007,0.0008,0.0007,
9/1/01,Italy,-0.0020,14.0952,-0.0022,-0.0001,-0.0022,
12/1/01,Italy,0.0016,13.8739,-0.0014,0.0004,-0.0014,
3/1/02,Italy,0.0014,13.4329,-0.0023,-0.0004,-0.0023,
6/1/02,Italy,-0.0003,13.4227,-0.0028,0.0002,-0.0028,
9/1/02,Italy,0.0002,13.7707,0.0003,0.0002,0.0003,
12/1/02,Italy,-0.0049,14.1638,0.0017,0.0002,0.0017,
3/1/03,Italy,-0.0092,14.7214,0.0050,0.0002,0.0050,
6/1/03,Italy,-0.0113,14.7767,0.0053,0.0004,0.0053,
9/1/03,Italy,-0.0105,15.0072,0.0045,0.0003,0.0045,
12/1/03,Italy,-0.0077,14.8537,0.0002,0.0009,0.0002,
3/1/04,Italy,-0.0052,15.3998,-0.0028,0.0002,-0.0028,
6/1/04,Italy,-0.0030,15.9632,-0.0016,0.0001,-0.0016,
9/1/04,Italy,-0.0016,16.5285,-0.0045,0.0001,-0.0045,
12/1/04,Italy,-0.0050,17.4125,-0.0020,-0.0005,-0.0020,
3/1/05,Italy,-0.0075,17.6567,-0.0014,0.0001,-0.0014,
6/1/05,Italy,-0.0076,18.4711,-0.0033,0.0001,-0.0033,
9/1/05,Italy,-0.0103,19.0154,-0.0014,0.0001,-0.0014,
12/1/05,Italy,-0.0090,19.4850,-0.0010,0.0000,-0.0010,
3/1/06,Italy,-0.0122,19.7725,-0.0010,0.0000,-0.0010,
6/1/06,Italy,-0.0133,19.8529,-0.0004,0.0000,-0.0004,
9/1/06,Italy,-0.0144,19.7855,-0.0004,0.0002,-0.0004,
12/1/06,Italy,-0.0145,20.1091,-0.0008,0.0001,-0.0008,
3/1/07,Italy,-0.0140,20.0489,-0.0001,0.0001,-0.0001,
6/1/07,Italy,-0.0128,20.1481,0.0010,0.0002,0.0010,
9/1/07,Italy,-0.0115,20.6894,0.0009,0.0001,0.0009,
12/1/07,Italy,-0.0136,20.8781,0.0003,0.0002,0.0003,
3/1/08,Italy,-0.0177,21.3101,-0.0004,-0.0004,-0.0004,
6/1/08,Italy,-0.0183,21.4346,0.0002,-0.0009,0.0002,
9/1/08,Italy,-0.0237,21.3668,0.0014,-0.0032,0.0014,
12/1/08,Italy,-0.0276,20.6741,0.0030,-0.0038,0.0030,
3/1/09,Italy,-0.0265,19.1635,0.0031,0.0001,0.0031,
6/1/09,Italy,-0.0280,16.9992,0.0020,0.0009,0.0020,
9/1/09,Italy,-0.0246,15.1587,0.0053,0.0035,0.0053,
12/1/09,Italy,-0.0184,14.1619,0.0038,0.0039,0.0038,
3/1/10,Italy,-0.0205,13.8373,0.0039,0.0003,0.0039,
6/1/10,Italy,-0.0235,14.2389,0.0038,0.0000,0.0038,
9/1/10,Italy,-0.0274,14.1188,-0.0003,0.0000,-0.0003,
12/1/10,Italy,-0.0331,14.2938,0.0003,0.0000,0.0003,
3/1/11,Italy,-0.0354,14.8839,0.0014,-0.0001,0.0014,
6/1/11,Italy,-0.0345,16.0616,-0.0003,0.0000,-0.0003,
9/1/11,Italy,-0.0332,17.0240,0.0001,-0.0001,0.0001,
12/1/11,Italy,-0.0283,17.9362,0.0002,-0.0010,0.0002,
3/1/12,Italy,-0.0223,18.1762,-0.0007,-0.0010,-0.0007,
6/1/12,Italy,-0.0152,18.9026,0.0012,-0.0012,0.0012,
9/1/12,Italy,-0.0088,19.9463,0.0008,-0.0013,0.0008,
12/1/12,Italy,-0.0025,20.8677,0.0006,-0.0006,0.0006,
3/1/13,Italy,0.0023,21.6694,0.0008,0.0005,0.0008,
6/1/13,Italy,0.0051,21.5795,0.0009,0.0008,0.0009,
9/1/13,Italy,0.0080,21.3832,0.0008,0.0011,0.0008,
12/1/13,Italy,0.0112,21.9519,0.0007,0.0012,0.0007,
3/1/14,Italy,0.0136,22.2502,0.0003,0.0001,0.0003,
6/1/14,Italy,0.0140,23.5182,-0.0004,0.0001,-0.0004,
9/1/14,Italy,0.0160,24.6836,-0.0003,-0.0001,-0.0003,
12/1/14,Italy,0.0186,25.4090,-0.0007,-0.0001,-0.0007,
3/1/15,Italy,0.0182,26.8515,-0.0009,-0.0001,-0.0009,
6/1/15,Italy,0.0175,27.4326,-0.0004,-0.0003,-0.0004,
9/1/15,Italy,0.0177,27.6844,-0.0004,-0.0002,-0.0004,
12/1/15,Italy,0.0138,28.0081,0.0001,-0.0002,0.0001,
3/1/16,Italy,0.0167,27.9988,-0.0007,-0.0001,-0.0007,
6/1/16,Italy,0.0205,28.2272,-0.0012,0.0038,-0.0012,
9/1/16,Italy,0.0234,28.4460,-0.0009,0.0011,-0.0009,
12/1/16,Italy,0.0258,28.5487,-0.0009,0.0015,-0.0009,
3/1/17,Italy,0.0268,28.1255,0.0003,0.0016,0.0003,
6/1/17,Italy,0.0258,28.9901,0.0017,-0.0034,0.0017,
9/1/17,Italy,0.0258,29.5650,0.0013,-0.0004,0.0013,
12/1/17,Italy,0.0262,31.4938,0.0012,-0.0009,0.0012,
3/1/18,Italy,0.0257,32.6529,0.0011,-0.0014,0.0011,
6/1/18,Italy,0.0260,32.3365,0.0005,-0.0005,0.0005,
9/1/18,Italy,0.0260,32.3579,0.0008,-0.0005,0.0008,
12/1/18,Italy,0.0247,31.8557,0.0012,-0.0004,0.0012,
3/1/19,Italy,0.0246,32.2297,0.0015,0.0000,0.0015,
6/1/19,Italy,0.0257,32.9223,0.0015,0.0004,0.0015,
9/1/19,Italy,0.0257,33.8696,0.0015,-0.0002,0.0015,
12/1/19,Italy,0.0295,33.4243,0.0015,-0.0004,0.0015,
3/1/20,Italy,0.0314,32.8454,0.0016,-0.0069,-0.0053,
12/1/00,Japan,0.0267,81.5550,0.0061,-0.0006,0.0055,
3/1/01,Japan,0.0258,80.7095,0.0026,0.0000,0.0026,
6/1/01,Japan,0.0227,76.2116,-0.0003,0.0000,-0.0003,
9/1/01,Japan,0.0202,72.6776,0.0035,0.0003,0.0037,
12/1/01,Japan,0.0200,69.0216,0.0050,0.0006,0.0057,
3/1/02,Japan,0.0218,66.8115,0.0054,0.0000,0.0054,
6/1/02,Japan,0.0242,67.6957,0.0119,0.0000,0.0119,
9/1/02,Japan,0.0256,67.9140,0.0082,0.0000,0.0082,
12/1/02,Japan,0.0264,69.9794,0.0065,0.0000,0.0065,
3/1/03,Japan,0.0255,70.4217,0.0116,0.0000,0.0116,
6/1/03,Japan,0.0264,69.0346,0.0142,0.0000,0.0142,
9/1/03,Japan,0.0290,68.0324,0.0256,0.0000,0.0256,
12/1/03,Japan,0.0313,66.0323,0.0380,0.0000,0.0380,
3/1/04,Japan,0.0345,67.5983,0.0631,0.0000,0.0631,
6/1/04,Japan,0.0364,70.3035,0.0538,0.0000,0.0538,
9/1/04,Japan,0.0372,73.4190,0.0414,0.0000,0.0414,
12/1/04,Japan,0.0378,76.2367,0.0288,0.0000,0.0288,
3/1/05,Japan,0.0369,79.1315,-0.0005,0.0000,-0.0005,
6/1/05,Japan,0.0357,81.7492,-0.0005,0.0000,-0.0005,
9/1/05,Japan,0.0351,82.4831,-0.0003,0.0000,-0.0003,
12/1/05,Japan,0.0357,83.3230,-0.0002,0.0000,-0.0002,
3/1/06,Japan,0.0369,83.7756,-0.0001,0.0000,-0.0001,
6/1/06,Japan,0.0367,84.9716,-0.0002,0.0000,-0.0002,
9/1/06,Japan,0.0379,87.3706,-0.0004,0.0000,-0.0004,
12/1/06,Japan,0.0386,89.7218,-0.0004,0.0000,-0.0004,
3/1/07,Japan,0.0413,89.2267,-0.0006,0.0000,-0.0006,
6/1/07,Japan,0.0440,87.1165,-0.0008,0.0000,-0.0008,
9/1/07,Japan,0.0465,86.1187,-0.0008,0.0000,-0.0008,
12/1/07,Japan,0.0468,84.3037,-0.0008,0.0000,-0.0008,
3/1/08,Japan,0.0459,84.5923,-0.0009,0.0000,-0.0009,
6/1/08,Japan,0.0414,83.6719,-0.0011,0.0000,-0.0011,
9/1/08,Japan,0.0358,79.6906,-0.0007,-0.0061,-0.0068,
12/1/08,Japan,0.0281,74.1204,-0.0006,-0.0244,-0.0250,
3/1/09,Japan,0.0206,62.1593,-0.0011,-0.0120,-0.0131,
6/1/09,Japan,0.0209,51.7151,-0.0013,-0.0035,-0.0048,
9/1/09,Japan,0.0226,46.7757,-0.0023,0.0054,0.0031,
12/1/09,Japan,0.0278,44.6695,-0.0022,0.0234,0.0212,
3/1/10,Japan,0.0342,48.5283,-0.0022,0.0115,0.0093,
6/1/10,Japan,0.0363,53.3506,-0.0010,0.0033,0.0023,
9/1/10,Japan,0.0384,56.9249,0.0041,0.0003,0.0044,
12/1/10,Japan,0.0386,60.0802,0.0043,0.0001,0.0044,
3/1/11,Japan,0.0365,63.0838,0.0048,0.0003,0.0052,
6/1/11,Japan,0.0315,59.7502,0.0039,0.0009,0.0048,
9/1/11,Japan,0.0275,61.2427,0.0077,0.0028,0.0105,
12/1/11,Japan,0.0210,63.1282,0.0233,0.0038,0.0271,
3/1/12,Japan,0.0166,67.3694,0.0206,0.0054,0.0260,
6/1/12,Japan,0.0152,75.8011,0.0176,0.0093,0.0270,
9/1/12,Japan,0.0116,76.9562,0.0089,0.0084,0.0174,
12/1/12,Japan,0.0097,76.4559,-0.0085,0.0075,-0.0010,
3/1/13,Japan,0.0085,74.8303,-0.0073,0.0058,-0.0016,
6/1/13,Japan,0.0102,73.9844,-0.0026,-0.0014,-0.0040,
9/1/13,Japan,0.0103,74.2194,0.0025,-0.0064,-0.0039,
12/1/13,Japan,0.0090,73.3378,0.0044,-0.0073,-0.0029,
3/1/14,Japan,0.0049,71.3732,0.0063,-0.0080,-0.0017,
6/1/14,Japan,0.0022,70.3801,0.0032,-0.0053,-0.0021,
9/1/14,Japan,0.0025,67.9317,-0.0009,-0.0011,-0.0020,
12/1/14,Japan,0.0075,67.6128,-0.0007,-0.0009,-0.0016,
3/1/15,Japan,0.0163,68.2194,-0.0016,-0.0002,-0.0017,
6/1/15,Japan,0.0221,69.0981,-0.0004,-0.0001,-0.0005,
9/1/15,Japan,0.0278,68.8549,-0.0009,-0.0001,-0.0010,
12/1/15,Japan,0.0311,69.0576,-0.0012,0.0003,-0.0009,
3/1/16,Japan,0.0345,68.7059,-0.0021,0.0002,-0.0019,
6/1/16,Japan,0.0363,67.6068,-0.0028,-0.0002,-0.0030,
9/1/16,Japan,0.0387,68.3971,-0.0035,0.0006,-0.0029,
12/1/16,Japan,0.0400,68.7534,-0.0045,0.0009,-0.0036,
3/1/17,Japan,0.0404,69.0901,-0.0021,-0.0010,-0.0031,
6/1/17,Japan,0.0401,69.1110,-0.0010,-0.0016,-0.0026,
9/1/17,Japan,0.0418,69.4104,0.0012,-0.0025,-0.0013,
12/1/17,Japan,0.0417,68.8081,0.0021,-0.0018,0.0003,
3/1/18,Japan,0.0410,68.8754,0.0014,-0.0005,0.0009,
6/1/18,Japan,0.0412,69.0679,0.0016,0.0000,0.0016,
9/1/18,Japan,0.0386,67.2078,0.0020,-0.0005,0.0015,
